report_date,product,put_call,contract,strike,volume,oi,oi_change,oi_prev
20260902,standard,Put,2609,41500,6,68,3,65
20260902,standard,Call,2609,67125,2,6,1,5
20260902,standard,Put,2609,41750,14,17,-9,26
20260902,standard,Call,2609,67250,15,15,-1,16
20260902,standard,Put,2609,42000,76,2193,38,2155
20260902,standard,Call,2609,67375,15,33,2,31
20260902,standard,Put,2609,42250,1,22,1,21
20260902,standard,Call,2609,67500,446,1626,199,1427
20260902,standard,Put,2609,42500,0,59,0,59
20260902,standard,Call,2609,67625,0,11,-31,42
20260902,standard,Put,2609,42750,0,20,0,20
20260902,standard,Call,2609,67750,13,495,6,489
20260902,standard,Put,2609,43000,47,1223,10,1213
20260902,standard,Call,2609,67875,0,56,0,56
20260902,standard,Put,2609,43250,0,60,0,60
20260902,standard,Call,2609,68000,765,3398,120,3278
20260902,standard,Put,2609,43500,1,887,0,887
20260902,standard,Call,2609,68125,0,86,0,86
20260902,standard,Put,2609,43750,2,16,0,16
20260902,standard,Call,2609,68250,38,55,23,32
20260902,standard,Put,2609,44000,85,1433,-6,1439
20260902,standard,Call,2609,68375,1,25,0,25
20260902,standard,Put,2609,44250,2,33,0,33
20260902,standard,Call,2609,68500,351,636,261,375
20260902,standard,Put,2609,44500,6,213,0,213
20260902,standard,Call,2609,68625,1,26,-1,27
20260902,standard,Put,2609,44750,0,39,0,39
20260902,standard,Call,2609,68750,6,319,0,319
20260902,standard,Put,2609,45000,94,2580,-5,2585
20260902,standard,Call,2609,68875,1,83,0,83
20260902,standard,Put,2609,45250,1,105,0,105
20260902,standard,Call,2609,69000,834,2223,326,1897
20260902,standard,Put,2609,45500,1,160,0,160
20260902,standard,Call,2609,69125,3,129,-2,131
20260902,standard,Put,2609,45750,0,60,0,60
20260902,standard,Call,2609,69250,2,113,0,113
20260902,standard,Put,2609,46000,140,1929,64,1865
20260902,standard,Call,2609,69375,1,29,0,29
20260902,standard,Put,2609,46250,0,66,0,66
20260902,standard,Call,2609,69500,190,837,72,765
20260902,standard,Put,2609,46500,18,407,-2,409
20260902,standard,Call,2609,69625,1,73,0,73
20260902,standard,Put,2609,46750,36,61,0,61
20260902,standard,Call,2609,69750,8,1458,-5,1463
20260902,standard,Put,2609,47000,182,1206,22,1184
20260902,standard,Call,2609,69875,2,47,0,47
20260902,standard,Put,2609,47250,1,224,0,224
20260902,standard,Call,2609,70000,1234,4234,140,4094
20260902,standard,Put,2609,47500,23,1035,6,1029
20260902,standard,Call,2609,70125,3,4,-1,5
20260902,standard,Put,2609,47750,3,117,0,117
20260902,standard,Call,2609,70250,28,653,11,642
20260902,standard,Put,2609,48000,66,2958,5,2953
20260902,standard,Call,2609,70375,3,3,-1,4
20260902,standard,Put,2609,48250,5,124,0,124
20260902,standard,Call,2609,70500,151,400,15,385
20260902,standard,Put,2609,48500,11,761,0,761
20260902,standard,Call,2609,70625,6,268,-1,269
20260902,standard,Put,2609,48750,2,151,0,151
20260902,standard,Call,2609,70750,46,37,15,22
20260902,standard,Put,2609,49000,280,2208,34,2174
20260902,standard,Call,2609,70875,0,61,0,61
20260902,standard,Put,2609,49250,1,216,0,216
20260902,standard,Call,2609,71000,633,1763,-149,1912
20260902,standard,Put,2609,49500,65,256,1,255
20260902,standard,Call,2609,71125,2,59,1,58
20260902,standard,Put,2609,49750,9,151,-1,152
20260902,standard,Call,2609,71250,20,86,0,86
20260902,standard,Put,2609,50000,939,10161,-373,10534
20260902,standard,Call,2609,71375,0,11,0,11
20260902,standard,Put,2609,50250,5,85,1,84
20260902,standard,Call,2609,71500,139,623,-7,630
20260902,standard,Put,2609,50500,140,1432,61,1371
20260902,standard,Call,2609,71625,3,2,-2,4
20260902,standard,Put,2609,50750,6,175,0,175
20260902,standard,Call,2609,71750,3,19,-1,20
20260902,standard,Put,2609,51000,233,1468,38,1430
